title	author	translator	publish	time	price	grade	commentnumber
灌篮高手31	[日] 井上雄彦	 邹宁	 长春出版社	2005	7.50元	9.5	27136
撒哈拉的故事	三毛		 哈尔滨出版社	2003	15.80元	9.2	39488
巴黎圣母院	[法]雨果	 陈敬容	 人民文学出版社	1982	22.50元	8.3	42973
肖申克的救赎	[美] 斯蒂芬·金	 施寄青	 人民文学出版社	2006	29.90元	9.1	39850
麦田里的守望者	[美国] J. D. 塞林格	 孙仲旭	 译林出版社	2007	28.00元	8.1	43415
无声告白	[美] 伍绮诗	 孙璐	 江苏凤凰文艺出版社	2015	35.00元	8.2	48450
嫌疑人X的献身	（日）东野圭吾	 刘子倩	 南海出版公司	2009年11月	19.80元	9.0	39557
山楂树之恋	艾米		 江苏文艺出版社	2007	25.00元	7.8	41327
华胥引（全二册）	唐七公子		 现代出版社	2011	39.80元	8.5	40177
地下铁	幾米		 辽宁教育出版社	2002	32.00元	8.3	39720
且听风吟	[日] 村上春树	 林少华	 上海译文出版社	2001	11.80元	7.8	42947
钢铁是怎样炼成的	[苏] 尼·奥斯特洛夫斯基	 曹缦西	 译林出版社	1996	20.00元	7.6	44206
红玫瑰与白玫瑰	张爱玲		 花城出版社	1996	12.80元	8.4	40649
人生若只如初见                                   : 古典诗词的美丽与哀愁	安意如		 天津教育出版社	2006	23.80元	7.2	43475
人间失格	太宰治	 许时嘉	 吉林出版集团有限责任公司	2009年9月	16.00元	8.3	46864
鬼吹灯之精绝古城                                   : 之精绝古城	天下霸唱		 安徽文艺出版社	2006	25.0	8.1	40607
安徒生童话故事集	（丹麦）安徒生	 叶君健	 人民文学出版社	1997	25.00	9.2	36158
呐喊	鲁迅		 人民文学出版社	1973年3月	0.36元	8.8	38180
小团圆	张爱玲		 北京十月文艺出版社	2009	28.00	7.6	41287
泡沫之夏	明晓溪		 新世界出版社	2006	20.00元	6.9	42937
会有天使替我爱你	明晓溪		 新世界出版社	2005	20.00元	6.6	43925
1984	[英] 乔治·奥威尔	 刘绍铭	 北京十月文艺出版社	2010	28.00	9.3	43222
年华是无效信	落落		 春风文艺出版社	2005	20.00元	7.6	39531
幻夜                                   : 东野圭吾作品06	〔日〕东野圭吾	 李炜	 南海出版公司	2009年9月	28.00元	7.5	43762
在路上	[美] 杰克·凯鲁亚克	 王永年	 上海译文出版社	2006	28.00元	7.8	39102
射雕英雄传（全四册）	金庸		 生活·读书·新知三联书店	1999	47.00元	8.9	33540
明朝那些事儿（1-9）                                   : 限量版	当年明月		 中国海关出版社	2009	358.20元	9.1	38315
月亮忘記了	幾米		 格林	2000	NT$ 299	8.6	35732
明朝那些事儿（叁）                                   : 妖孽宫廷	当年明月		 中国友谊出版公司	2007	24.80	8.9	35948
哭泣的骆驼	三毛		 哈尔滨出版社	2003	15.80元	8.9	30639
原来你还在这里	辛夷坞		 朝华出版社	2007	25.00元	7.6	38696
